name,id,description,friends,followers,location,tweet,flag
🏳️‍⚧️ J.L. ☭ Kagubatan 🏳️‍⚧️,JLKagubatan,Jacinta Luna. Communism w/Skateboard Characteristics(ML). Dizzying Princess. Bi/Pan. She/They. Ballot/Bullet. Priv: @jlmambabarang #handsOFF🇻🇪🇸🇾🇮🇷🇧🇴,236,774,Pinay on Yavapai-O'odham Land,And any leftist who is willing to die for less than revolution or even reform but for bourgeois democratic norms,0
Michael Curry Sr.,lmlvkid2,"I love Jesus, my family, and God bless the USA, I also stand with Israel",4648,1843,,Feeling Depressed tonight I take meds for this so I dont understand whats going on,1
Bar & Bench,barandbench,"News about Law & Lawyers. #India related. Breaking news from Supreme Court of India, #DelhiHC, #BombayHC, #MadrasHC, #SupremeCourt, Retweet,Follow ≠ Endorsement",1203,284200,"Del,Blr,Mum,Chennai",Salve CJM said relation of the accused needs to be established with suicide and until then police custody cannot b,1
hisa ᕙ( : ˘ ∧ ˘ : )ᕗ oommf!,xhisa12,"25+ | ENG/MY | 🎮 A3, BSTS, Arknights, TWST, HYPMIC, Genshin |‼️HEAVY RETWEET‼️| I draw | CP 刀剣乱舞みつくり/FFXVノクプロ/ヒプマイ一左馬 /JJBA 承太郎花京院/KNYSaneGiyuu",118,735,Malaysia,depressed of what if i didnt get him what should i do with my life,1
Sowetan LIVE,SowetanLIVE,It’s what you know that determines how far you can go. Visit https://t.co/yT8GWGck3Z to know more. #KnowYourPlace,4442,955940,"Johannesburg, South Africa",In an affidavit read by his lawyer John Mohoto Leshabane said It is untrue that I attempted to commit suicide an,1
oneybars,oneybars,🧨🌲☄️#natureboyzonly,206,1941,Nature,i got three likes shit is depressing,1
mimi,8meterforehead,please date me i’m so lonely,25,2,she/her,i looked up how to die in my sleep and google gave me a suicide prevention line and then i clicked it and no one answered me,1
Quynh,QuynhMontgomery,My children are surprisingly good looking—I believe everything is better with bacon—profanity is my 2nd language — and I’m convinced my dog is judging me.,2552,2426,VOTE BIDEN,MKresova TheAlexManasseh samanthamarika1 Only your stid aampamp would laugh at comments regarding suicide,1
jayjay,SSFWYEONS,sixteen ★ she/her,306,230,ooh la la ah wae ah wae ah wae,im literally having to brush out my hair in sections bc its all super knotted from being too depressed to brush it,0
d • l,depressed_del,ctrl+a del,57,3,,life is scary,1
💖WEAR YOUR FUCKING MASKS & VOTE!!!💖,AJSolis9,"I'm a BAD BITCH, YOU CAN'T KILL ME!!! 😂 A BIG GAY. For real though. Retail know-it-all. Mostly stuff I love and whatever makes me laugh.He/Him ♋ 🇺🇸🇯🇵 🐶💕",603,269,,localtotoro Im glad its getting better for you Ive been years sober because I dealt with my depression through,0
Latanya Davis,EmpressOfPink,"Black, Single, Straight, Holy Rollin', Conservative/Republican, Christian & 40-Sumthin'. Lover of: Cats, Glocks, Fine Dining, Clean Humor & Travel.",481,555,"Dallas, TX",MSanditon7542 TahiraOsman4 I know Depressing as heck Sanditon SaveSanditon SanditonSisterhood,1
is this hurdy gurdy,kiIIscreen,fuck your entire life || 🌚 @impulse53 + @_tdksa 🌝 || osotus manor || art: @RH0DOCHR0SITE,33,34,he/it,Sudden wave of depression realizing i once again dont have anywhere to stay after tomorrow,1
Troy://🇨🇳🇰🇵🇨🇺🇻🇳🇱🇦🇵🇸/☭,LiberatedLabor,Marxist-Leninist | Anti-Fascist | Anti-Imperialist | People Before Profits! | OpenBSD Junkie | #FreeAssange,960,2486,/dev/occupied_chumash_land,Just watched Invisible Heroes its a pretty depressing series about Tapani Brotherus saving refugees in Chile F,0
Tyler Thomas 🏈🏀,MC_TylerT,SLU ‘20. I like sports. Co-Host of Halftime Adjustments! @KSLU909 High School Football reporter @WWLAMFM All opinions are my own. Retweets are not endorsements.,2433,652,"Hammond, America",zechariah1680 Hardings two years as President were marred with Scandal Died before he could do much Was looking,0
ʀᴇɢᴏ™,bigreegs1985,"""ɪ ᴡᴀꜱ ʙᴏʀɴ ᴀɴᴅ ʀᴀɪꜱᴇᴅ ɪɴ ᴛʜᴇ ᴡɪʟᴅ. ɪ ᴡᴀꜱ ɪɴ ᴛʜᴇ ᴄʀᴏᴡᴅ ᴡʜᴇɴ ʀᴀꜰɪᴋɪ ʜᴇʟᴅ ꜱɪᴍʙᴀ ᴏᴠᴇʀ ᴛʜᴇ ᴇᴅɢᴇ ᴏꜰ ᴀ ᴄʟɪꜰꜰ, ʟɪᴋᴇ ᴀɴ ᴀꜰʀɪᴄᴀɴ ᴍɪᴄʜᴀᴇʟ ᴊᴀᴄᴋꜱᴏɴ."" 🦁 👑 #ᴜᴛʙ #ʙᴏʀᴏ #ʀᴏᴠᴇʀꜱ",72984,66392,"Middlesbrough, England",Melania Whats wrongDonald FAKE NEWSM Is it the votes thingD FAKE VOTESM Are you depressedD FAKE BLUE,1
Sage Revolter,SageRevolter,"Knowledge without its application is like a rusted metal structure ,unreliable ,weak, and potential rust source for its ambiance!",456,258,Pakistan,MaddyWithKhan I believe its the case of prioritiesI dnt support institutional interference but wht happened her,0
d • l,depressed_del,ctrl+a del,57,3,,shinahadv jaiofeden shinahadv good luck everyone,0
catboy!alex/dex 🛒⛓,KAND1C0RE,#NAGITO: poggerz dude // alex/dex ♡ 14 ♡ artist ♡ dont qrt my art ♡ read my carrd byf (in pinned) 🖤 lovely gf - @callmecrayonnn 💜🌈 priv: @K1LL3RKAND1 ☆,786,432,bi ☆ he/they/nyan ☆ transmasc ,describing suicide describing gore situation AT LEAST TAG THAT SHIT IT WAS GRAPHIC it was someone had sho,0
🐁🐁,ujnaejuy,Why are monkeys the only animal emojis with emotion and why are cats in the human section,36,8,,Seasonal depression omfg I feel like this wave of something ness washed over me and now I am a pile of flesh an bo,0
Rex[Jan/3➞₿🔑∎] 💪,Rex_Pyramid,"Politically Moderate, Day-Trader & Javascript Devotee, former Twitter Security.",446,113,"New York, NY",Twitter must be suicidal if it really wants to get rid of Trump and his 88million followers,0
Haevre,HUSSIEQUEST,this fucks,396,51,Here,ITS LIKE A PLOT POINT HOLY FUCK LIKE THIS IS THEIR CHILDHOOD FAVOURITE FILM AND IM JUST LIKE WOW THATS A DEPRESSING CHOICE,0
"Hello, Lala🌸",__bossbellkim,"(っ◔◡◔)っWaiting Soldier종대👨‍✈️💛
#SOONDINGIES #920921",760,926,JD heart,your smile is my medicine when i get stressed and depressed,0
😷#8645🌊Count ALL The Votes!,mammaTam55,"🇨🇦mom❤️younggramma❤️wife🇺🇸#animaladvocate❤️#AdoptDontShop #VoteBlue2020🌊#mommaTam522😉 #staysafe #Impotus4ever
Trump LIED, people DIED 💔 #TrumpVirus",2190,1854,,I guess the parents sickness and or death from Covid which is surging throughout the US wouldnt cause depressi,1
PJ⚡️🇯🇲,donth8thegoat,Ahead of my time.....,504,492,Not giving af,lovelexiiiiii and with self harm if your taking about suicide I understand completely And if thats the case wh,0
𝔏𝔦𝔬𝔫𝔢𝔰𝔰,InsaneMistress,Lurker | anthropologist | INTP | she/her | opinions are my own | likes animals more than people |,633,638,venmo/cashapp: insanemistress,Fantasizing about how the COVIDRelief that EdMarkey wants to give us would completely change my life and solve pr,0
سمية♕,iiiishx3,#김지수 : like e e e e,91,37,she/her,chrolloverga just try to help her out like a lot I did that for my mom when she went through post partum depression it rlly helped,0
Rolando Nunez,MrCreditNJ,Whatever you think I am. You are WRONG. 🇨🇺💯,207,38,"West New York, NJ",People will claim that a lockdown is justified because health is more important than the economy Understand that h,0
lil pink devil,mat_pierce,"your favorite dumb ass, meme lovin, cry baby, homosexual, horror whore!",817,917,"Columbus, OH",Depression is hitting me life a ton of bricks tonight,1
ًkaryl,yeunryl,⠀⠀⠀⠀⠀— ## ryl 🐻‍❄️ ; she + her // a filo minor !! ☻,1044,1090,this person is so attached to anime characters that she's hopeless to find true love in real life so don't hit her up or she'll end up in pain. ,nisenniexpress i didnt know that the real dazai was also suicidal,1
Erin wants a National #BadCopRegistry,chargrille,"M.A. Hist. YLS '04. #IndictTrump. Founder, Portland Families Belong Together rally. Website co-founder, https://t.co/aTaVtsKIiZ. #ClimateAction mom.

she/her/sir",7598,9050,United States,girlgeekrva lbarronlopez hollyotterbein I disagree I find it depressing that other Democrats are attacking the,0
वंदे मातरम्,deepaksingh83,हिंदुस्तानी!!,2145,6145,"Delhi, India",Good He reminded him to stick on actual plea and case he was keep referring other issues which is not related,0
stupid,brappuccino,sell me your pills,21,41,hole ,an endless section of mentally ill women who will drive me to suicide,1
xoc3lfi3.xo,xoc3lfi3,Living life 😌,26,13,,Depression a bitch,1
your fave says ___ are valid!,youre_valid,"inspired by @characterhugs! instructions on my pinned!
they/them",27,20,Nov-08,oliverstarkk TW mentions of suicidethe way they went SO in depth with this topic in health class ev,1
AGU 🦁,gizzyone1,"When climbing up, remember those that hold the ladder so you can get up there,

#Arsenal

#Hustler",705,545,Africa ,brightadim SomtoSocial You are depressed aint ya,1
